foul	f {O l
narcotic	n 6: ' k O t I k
four	f o:
prefix	' p r\ i: f I k s
mirage	m @ ' r\ 6: Z
aggression	@ ' g r\ e S @ n
conjure	' k 6 n dZ @
looking	l U k I N
pardon	' p 6: d @ n
eligible	' e l @ dZ @ b @ l
electricity	@ l e k ' t r\ I s @ t i:
rupture	' r\ 6 p tS @
rouse	r\ {O z
scold	s k @} l d
quadruple	k w O d ' r\ }: p @ l
outwit	{O t ' w I t
tingle	' t I N g @ l
lore	l o:
lord	l o: d
immature	' I m @ tS U @
digit	' d I dZ @ t
hormone	' h o: m @} n
deli	' d e l i:
pierce	p I@ s
pigment	' p I g m @ n t
yellow	' j e l @}
microbe	' m Ae k r\ @} b
politician	p O l @ ' t I S @ n
disturb	d @ ' s t 3: b
prize	p r\ Ae z
wooden	w U d @ n
wholemeal	' h @} l m i: l
satchel	' s { tS @ l
Tuesday	' t j }: z d {I
straight	s t r\ {I t
fritter	' f r\ I t @
charter	' tS 6: t @
specially	' s p e S @ l i:
tired	t Ae @ d
miller	m I l @
preface	' p r\ e f @ s
bacon	' b {I k @ n
pulse	p 6 l s
elegant	' e l @ g @ n t
second	' s e k @ n d
tether	' t e D @
horseshoe	' h o: s S }:
inanimate	I ' n { n @ m @ t
blouse	b l {O z
ruthless	' r\ }: T l @ s
thunder	' T 6 n d @
jocular	' dZ O k j @ l @
decry	d @ ' k r\ Ae
fossil	' f O s @ l
numeral	' n j }: m @ r\ @ l
specialist	' s p e S @ l @ s t
hero	' h I@ r\ @}
avert	@ ' v 3: t
dog-ear	' d O g I@
reporter	r\ @ ' p o: t @
herb	h 3: b
Dreaming	' d r\ i: m I N
here	h I@
herd	h 3: d
specialise	' s p e S @ l Ae z
chassis	' S { z i:
china	' tS Ae n @
ingratitude	I n ' g r\ { t @ tS }: d
cult	k 6 l t
shriek	S r\ i: k
dork	d o: k
calculate	' k { l k j @ l {I t
doldrums	' d O l d r\ @ m z
substance	' s 6 b s t @ n s
elaborate	@ ' l { b @ r\ @ t
controversy	' k O n t r\ @ v 3: s i:
N	e n
personify	p @ ' s O n @ f Ae
military	' m I l @ t r\ i:
spotty	' s p O t i:
golden	' g @} l d @ n
divide	d @ ' v Ae d
ground	g r\ {O n d
lengthen	' l e N T @ n
replace	r\ @ ' p l {I s
brought	b r\ o: t
marina	m @ ' r\ i: n @
remnant	' r\ e m n @ n t
sizeable	' s Ae z @ b @ l
stern	s t 3: n
cocaine	k @} ' k {I n
unit	' j }: n @ t
spoke	s p @} k
browse	b r\ {O z
symphony	' s I m f @ n i:
music	' m j }: z I k
therefore	' D e: f o:
passport	' p 6: s p o: t
violently	v Ae l @ n t l i:
strike	s t r\ Ae k
until	6 n ' t I l
teaspoon	' t i: s p }: n
holy	' h @} l i:
relax	r\ @ ' l { k s
hurt	h 3: t
meteorologist	m i: t i: @ ' r\ O l @ dZ @ s t
glass	g l 6: s
holl	h O l
hurn	h 3: n
tying	' t Ae I N
hurl	h 3: l
hole	h @} l
hold	h @} l d
larrikin	' l { r\ @ k @ n
pursue	p @ ' s j }:
sway	s w {I
sweeten	' s w i: t @ n
blade	b l {I d
locker	' l O k @
locket	' l O k @ t
shelve	S e l v
exhale	e k s ' h {I l
example	@ g ' z { m p @ l
scavenge	' s k { v @ n dZ
La	l {I n
wank	w { n k
household	' h {O s h @} l d
currency	' k 6 r\ @ n s i:
malign	m @ ' l Ae n
want	w O n t
house-warming	' h {O s w o: m I N
absolute	' { b s @ l }: t
hog	h O g
hod	h O d
hoe	h @}
turn	t 3: n
hon	h O n
dimple	' d I m p @ l
travel	' t r\ { v @ l
pigsty	' p I g s t Ae
damage	' d { m I dZ
machine	m @ ' S i: n
how	h {O
hot	h O t
hop	h O p
classify	' k l { s @ f Ae
hoy	h oI
gaming	' g {I m I N
paste	p {I s t
beauty	' b j }: t i:
despondent	d @ ' s p O n d @ n t
diagram	' d Ae @ g r\ { m
possum	' p O s @ m
modest	' m O d @ s t
destined	' d e s t @ n d
short-tempered	S o: t ' t e m p @ d
antonym	' { n t @ n I m
effective	@ ' f e k t I v
attracts	@ t r\ { k s
revolt	r\ @ ' v @} l t
headquarters	' h e d k w o: t @ z
sickening	' s I k @ n I N
alias	' {I l i: @ s
banksia	' b { N k s i: @
wing	w I N
squint	s k w I n t
wine	w Ae n
feedback	' f i: d b { k
vary	' v e: r\ i:
foodstuff	' f }: d s t 6 f
fidelity	f @ ' d e l @ t i:
bread-and-butter	b r\ e d @ n ' b 6 t @
fit	f I t
radiologist	r\ {I d i: ' O l @ dZ @ s t
fix	f I k s
striking	' s t r\ Ae k I N
fib	f I b
vast	v 6: s t
insubstantial	I n s @ b ' s t { n S @ l
hidden	' h I d @ n
fin	f I n
bristle	' b r\ I s @ l
duvet	' d }: v {I
enrich	e n ' r\ I tS
slate	s l {I t
commemorate	k @ ' m e m @ r\ {I t
detachment	d @ ' t { tS m @ n t
beaut	b j }: t
interrupt	I n t @ ' r\ 6 p t
sixteen	s I k s ' t i: n
silver	' s I l v @
hyped-up	' h Ae p t 6 p
scholar	' s k O l @
rumour	' r\ }: m @
thyme	t Ae m
defecate	' d e f @ k {I t
debut	' d {I b j }:
spotless	' s p O t l @ s
arrow	' { r\ @}
addicted	@ ' d I k t @ d
volcano	v O l ' k {I n @}
dumpy	' d 6 m p i:
burial	' b e r\ i: @ l
whim	w I m
financial	f @ ' n { n S @ l
telescope	' t e l @ s k @} p
garment	' g 6: m @ n t
spider	' s p Ae d @
bowls	b @} l z
whiz	w I z
we'd	w i: d
fortnight	' f o: t n Ae t
rind	r\ Ae n d
cathedral	k @ ' T i: d r\ @ l
message	' m e s I dZ
whip	w I p
borne	b o: n
misfortune	m I s ' f o: tS @ n
diction	' d I k S @ n
smirk	s m 3: k
mason	' m {I s @ n
re	r\ i:
broad-minded	b r\ o: d ' m Ae n d @ d
adapt	@ ' d { p t
outburst	' {O t b 3: s t
foundation	f {O n ' d {I S @ n
Word	P r o n u n c i a t i o n
waddle	' w O d @ l
fugitive	' f j }: dZ @ t I v
greaseproof	' g r\ i: s p r\ }: f
estimate	' e s t @ m {I t
knit	n I t
chlorine	' k l o: r\ i: n
PAYE	p i: {I w Ae ' i:
enormous	@ ' n o: m @ s
ate	{I t
Nigel	n Ae dZ @ l
rumple	' r\ 6 m p @ l
moment	' m @} m @ n t
scruff	s k r\ 6 f
disturbed	d @ ' s t 3: b d
tempting	t e m p t I N
whirlwind	' w 3: l w I n d
stripe	s t r\ Ae p
hearsay	' h I@ s {I
goggle	' g O g @ l
wash	w O S
instruct	I n ' s t r\ 6 k t
clarity	' k l { r\ @ t i:
basketball	' b 6: s k @ t b o: l
service	' s 3: v @ s
engagement	e n ' g {I dZ m @ n t
stack	s t { k
master	' m 6: s t @
architect	' 6: k @ t e k t
bitter	' b I t @
genesis	' dZ e n @ s @ s
listen	' l I s @ n
collapse	k @ ' l { p s
pubic	' p j }: b I k
snooty	' s n }: t i:
convention	k @ n ' v e n S @ n
stake	s t {I k
predictable	p r\ @ ' d I k t @ b @ l
crawl	k r\ o: l
peril	' p e r\ @ l
icicle	' Ae s I k @ l
coward	' k {O @ d
handcuffs	' h { n d k 6 f s
tree	t r\ i:
likely	' l Ae k l i:
monotreme	' m O n @ t r\ i: m
project	' p r\ @} dZ e k t
pneumonia	n j }: ' m @} n j @
idle	' Ae d @ l
endure	e n ' d j U @
seminary	' s e m @ n r\ i:
feeling	' f i: l I N
spectrum	' s p e k t r\ @ m
spent	s p e n t
antagonistic	{ n t { g @ ' n I s t I k
headland	' h e d l { n d
corny	' k o: n i:
arousal	@ ' r\ {O z @ l
thaw	T o:
tale	t {I l
alive	@ ' l Ae v
dozen	' d 6 z @ n
sterile	' s t e r\ Ae l
wholesome	' h @} l s @ m
escalator	' e s k @ l {I t @
person	' p 3: s @ n
responsible	r\ @ ' s p O n s @ b @ l
gripe	g r\ Ae p
absorbed	@ b z o: b d
divan	d @ ' v { n
season	' s i: z @ n
hun	h 6 n
pander	' p { n d @
matriarch	' m {I t r\ i: 6: k
withdraw	w I D ' d r\ o:
shall	S { l
object	' O b dZ e k t
disjointed	d I s ' dZ oI n t @ d
VCR	v i: s i: ' 6:
mouth	m {O T
addict	' { d I k t
letter	' l e t @
fluster	' f l 6 s t @
drought	d r\ {O t
thriller	' T r\ I l @
dummy	' d 6 m i:
crayfish	' k r\ {I f I S
episode	' e p @ s @} d
grove	g r\ @} v
press-up	' p r\ e s 6 p
professor	p r\ @ ' f e s @
camp	k { m p
multiracial	m 6 l t i: ' r\ {I S @ l
tech	t e k
temperamental	t e m p r\ @ ' m e n t @ l
nineteenth	n Ae n ' t i: n T
scream	s k r\ i: m
came	k {I m
